CATEGORIA,ELEMENTO,CANTIDAD,UBICACION,LINK_REFERENCIA,OBSERVACIONES
Decodificador,Decodificador Bcd A 7 Seg. 74Ls48,25,Nan,https://www.vistronica.com/componentes-activos/familias-logicas/decodificador-bcd-a-7-segmentos-74ls48-detail.html,
Diac,Diac Db3,0,Nan,https://www.vistronica.com/componentes-activos/diodos/diodo-para-corriente-alterna-diac-db3-detail.html,
Diodo / Led,Diodo 1N4004 Rectificador,630,Nan,https://www.vistronica.com/componentes-activos/transistores/diodo-rectificador-1n4004-detail.html,
Diodo / Led,Diodo 6A6 Rectificador,10,Nan,https://www.vistronica.com/componentes-activos/diodos/puente-rectificador-de-6a-kbpc606-detail.html,
Diodo / Led,Diodo De Switcheo 1N4148,50,Nan,https://www.vistronica.com/componentes-activos/diodos/diodo-zener-1n4148-1v-05w-detail.html,
Diodo / Led,Diodo Led Amarillo 5Mm Difuso,115,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Diodo Led Naranja 5Mm,4,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Diodo Led Rojo 5Mm,102,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Diodo Mur480Eg Ultrarápido,0,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Diodo Rectificador 1N4001,0,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Diodo Rectificador 1N4007 ,10,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Diodo Zener 12V,120,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Diodo Zener 1N4734A 5.6V 1W,20,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,"Diodo Zener 1N4735 6,2V",20,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Diodo Zener 5.1V,120,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Diodos Led Azul 5Mm,115,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Diodo Led Blanco 5Mm,110,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Diodo Led Verde 5Mm,110,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Led Infrarrojo Emisor De 3Mm,10,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Led Infrarrojo De Alta Potencia Tsal6200 940 Nm,15,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Ltl4266N Led Infrarojo,10,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Led Infrarrojo Receptor De 3Mm,15,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Led Infrarrojo Receptor Hs0038B De Control Remoto,13,Nan,https://www.vistronica.com/componentes-activos/diodos/led/led-infrarrojo-receptor-hs0038b-de-control-remoto--detail.html,
Diodo / Led,Emisor Infra-Rojo 940Nm 5Mm Alta Eficiencia,5,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Led Rgb 5Mm Catodo Comun,105,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Fotoresistencia 16 A 33 K Hhm Dimensiones 420Mm Para Insercion De Protroboard,10,Nan,SIN ENLACE DE REFERENCIA,
Diodo / Led,Fototransistor Receptor 5Mm Op598,10,Nan,SIN ENLACE DE REFERENCIA,
Dipswitch,Dip Switch 4 Posiciones ,30,Nan,SIN ENLACE DE REFERENCIA,
Dipswitch,Dip Swith 8 Posiciones,6,Nan,SIN ENLACE DE REFERENCIA,
Display,Display 7 Segmentos De 2 Digitos Anodo Comun,2,Nan,SIN ENLACE DE REFERENCIA,
Display,Display Lcd 16*2 Color Azul = 25 ; Color Verde = 4,15,Nan,SIN ENLACE DE REFERENCIA,
Display,Display Lcd 16*2 Color Azul = 25 ; Color Verde = 4 + Sheild,1,Nan,SIN ENLACE DE REFERENCIA,
Display,Display Lcd 16*4 Color Azul = 25 ; Color Verde = 4,1,Nan,SIN ENLACE DE REFERENCIA,
Display,Display Segmentos Anodo Comun - 1 Solo Digito,25,Nan,SIN ENLACE DE REFERENCIA,
Display,Display Segmentos Catodo Comun -1 Solo Digito,25,Nan,SIN ENLACE DE REFERENCIA,
Driver De Motor,Driver De Motor L293D (Referrencia E8-03C-1),8,Nan,SIN ENLACE DE REFERENCIA,
Driver De Motor,Driver Para Motores Dc Y Paso A Paso. Dip-16 1A L293B,10,Nan,https://www.didacticaselectronicas.com.co/shop/l293b-driver-para-motores-dc-y-paso-a-paso-dip-16-1a-420#attr=,
Destornillador,Destornillador De Pala Pro’Skit,6,Nan,https://www.didacticaselectronicas.com.co/shop/sd-5101a-destornillador-de-pala-proskit-9913#attr=,
Flip-Flops,Flip-Flops Jk Ref: Cd4027,20,Nan,SIN ENLACE DE REFERENCIA,
Electrodos,Electrodos 3M Ref. 2228 Paquete X 50 Unidades,20,Nan,SIN ENLACE DE REFERENCIA,
Fusibles,Fusible Corto 500Ma,0,Nan,SIN ENLACE DE REFERENCIA,
Fusibles,Fusibles Dmm-B-11A Multimetro Fluke,5,Nan,SIN ENLACE DE REFERENCIA,
Fusibles,Fusibles Dmm-B-44-100-R Multimetro Fluke ,5,Nan,SIN ENLACE DE REFERENCIA,
Integrado,Integrado Cd4511,20,Nan,SIN ENLACE DE REFERENCIA,
Integrado,Integrado Sn74Hc38N,20,Nan,SIN ENLACE DE REFERENCIA,
Interruptor,Interruptor Bilateral Cuádruple Cd4066Be,30,Nan,https://www.vistronica.com/componentes-activos/interruptor-bilateral-cuadruple-cd4066be--detail.html,
Juego,Juego De Llaves Torx,0,Nan,SIN ENLACE DE REFERENCIA,
Nan,Juego De Accesorios Para Servo Motores Mg90S Y Sg92R,10,Nan,https://www.didacticaselectronicas.com.co/shop/mgsg-arm-1-set-servo-arm-mg-sg-4693#attr=,
Kit,Kit De Bascula Digital 5Kg Hx711 (Desarmado),3,Nan,SIN ENLACE DE REFERENCIA,
Kit,Kit De Refrigeración Peltier Para Líquido Ref: K-Dis-Plt-C-04,6,Nan,https://www.didacticaselectronicas.com.co/shop/k-dis-plt-c-04-kit-de-refrigeracion-peltier-para-liquido-10269#attr=,
Microservos,Micro Servomotor Sg90 9G,32,Nan,https://www.vistronica.com/robotica/motores/servomotores/micro-servomotor-sg90-9g-detail.html,
Microservos,Micro Servomotor Mg90S,2,Nan,SIN ENLACE DE REFERENCIA,
Micropulsadores ,Micropulsadores 4 Pines,4,Nan,SIN ENLACE DE REFERENCIA,
Nan,Micro Pulsador De 2 Pines,52,Nan,SIN ENLACE DE REFERENCIA,
Miniconector,Miniconector Terminal Con Palanca Pct-2-3M. Claro,10,Nan,https://www.didacticaselectronicas.com.co/shop/pct-2-3-cl-miniconector-terminal-con-palanca-pct-2-3m-claro-21920#attr=,
Memoeria,Memoria Micro Sd,4,Nan,SIN ENLACE DE REFERENCIA,
Modulos,Modulo Bluetooth Hc-05 (B23090W),20,Nan,https://www.didacticaselectronicas.com.co/shop/bt-hc-05-modulo-bluetooth-hc05-3583#attr=,
Modulos,Modulo Convertidor Analógico A Digital Ads1115 16 Bits Para Raspberry Pi,5,Nan,SIN ENLACE DE REFERENCIA,
Modulos,Módulo De Cámara Ov7670,5,Nan,SIN ENLACE DE REFERENCIA,
Modulos,Cámara Ov640 Lente De 75 Grados 28Mm Para Esp32 Ref: Cam-Esp-28Mm-75,1,Nan,https://www.didacticaselectronicas.com.co/shop/cam-esp-28mm-75-camara-ov640-lente-de-75-grados-28mm-para-esp32-24184#attr=,
Modulos,Módulo De Control De Motor Paso A Paso Uln2003  ,5,Nan,https://www.didacticaselectronicas.com.co/shop/driv-ul2003-step-controlador-uln2003-para-motor-paso-a-paso-4-fases-7035#attr=,
Modulos,Módulo L298N Para Control De Motores (Puente H),14,Nan,https://www.vistronica.com/robotica/modulo-l298n-para-control-de-motores-puente-h-detail.html,
Modulos,Módulo Tb6612Fng Para Control De Motores (Puente H),5,Nan,https://www.vistronica.com/robotica/motores/drivers-de-motores/modulo-tb6612fng-para-control-de-motores-puente-h-detail.html,
Modulos,Punete H L298N Multiwatt 15V,15,Nan,SIN ENLACE DE REFERENCIA,
Modulos,Módulo Joystick Palanca De Mando Ps2,6,Nan,https://www.vistronica.com/modulos/modulo-joystick-palanca-de-mando-ps2-detail.html,
Modulos,Módulo Alimentación De Doble Lí­Nea 5V/3.3V Xd-42,5,Nan,https://www.vistronica.com/fuente-de-voltaje/modulo-alimentacion-de-doble-linea-5v-3-3v-xd-42-detail.html,
Modulos,Módulo Sensor Infrarrojo Evasor De Obstaculos - Sutagao,6,Nan,https://www.vistronica.com/sensores/proximidad-y-distancia/modulo-sensor-infrarrojo-evasor-de-obstaculos-sutagao-detail.html,
Modulos,Módulo Sensor De Temperatura Y Humedad Dht11,0,Nan,https://www.vistronica.com/sensores/modulo-sensor-de-temperatura-y-humedad-dht11-detail.html,
Modulos,Modulo Lm2596 Regulador De Voltaje Dc-Dc 75W De 3 A 35V Con Display,22,Nan,https://www.vistronica.com/#q=Lm2596&from_user=&page=0&refinements=%5B%5D&numerics_refinements=%7B%7D&index_name=%22prestashop1763_all_es%22,
Modulos,Modulo Mpu-6050 Acelerometro Y Giroscopio Sp  Imu De 6 Ejes,15,Nan,https://www.vistronica.com/sensores/imu/modulo-mpu6050-para-arduino-detail.html,
Modulos,Giroscopio De 3 Ejes Gy-50 L3G4200D,3,Nan,SIN ENLACE DE REFERENCIA,
Modulos,Módulo Sensor Tcrt5000L,10,Nan,https://www.vistronica.com/optoelectronico/modulo-sensor-tcrt5000l-detail.html,
Modulos,Modulo Multiplexor/Demultiple Xor Analógico 16 Canales 74Hc4067 Para Arduino,5,Nan,SIN ENLACE DE REFERENCIA,
Modulos,Módulo Sensor De Vibración Sw-420,10,Nan,SIN ENLACE DE REFERENCIA,
Modulos,Modulo Termometro Infrarrojo Gy-906,5,Nan,SIN ENLACE DE REFERENCIA,
Modulos,Modulo I2C,16,Nan,SIN ENLACE DE REFERENCIA,
Modulos,Módulo Tm1637 Con Display 4 Digitos 7 Segmentos,10,Nan,https://www.vistronica.com/display/modulo-tm1637-con-display-4-digitos-7-segmentos-detail.html,
Modulos,Matriz Leds 8*8 Max 7219,7,Nan,SIN ENLACE DE REFERENCIA,
Modulos,"Max30102 - Módulo De Sensor De FC, Detector De Pulsos, Spo2 Arduino",8,Nan,SIN ENLACE DE REFERENCIA,
Mosfet,Mosfet Canal N 100V 57A  Irf 3710,10,Nan,SIN ENLACE DE REFERENCIA,
Mosfet,"Mosfet Irf 9630 Canal P 200V 6,5A",10,Nan,SIN ENLACE DE REFERENCIA,
